SQL,database,question
SELECT country FROM people WHERE age  <  25 INTERSECT SELECT country FROM people WHERE age  >  30,wedding,"Show the country where people older than 30 and younger than 25 are from.
"
SELECT T1.Area FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.Appelation  =  T2.Appelation GROUP BY T2.Appelation HAVING T2.year  <  2010 ORDER BY count(*) DESC LIMIT 1,wine_1,"What is the area of the appelation that produces the highest number of wines before the year of 2010?
"
SELECT count(DISTINCT s_id) FROM advisor,college_2,"How many students have advisors?
"
"SELECT DISTINCT t3.venueid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""li dong"" AND t3.year  =  2016;",scholar,"Where did li dong publish in 2016 ?
"
SELECT t1.customer_name FROM customers AS t1 JOIN customer_orders AS t2 ON t1.customer_id  =  t2.customer_id JOIN order_items AS t3 ON t2.order_id  =  t3.order_id GROUP BY t1.customer_name ORDER BY sum(t3.order_quantity) DESC LIMIT 1,customers_and_addresses,"What is the name of the customer that has purchased the most items?
"
SELECT t1.name FROM train AS t1 JOIN route AS t2 ON t1.id  =  t2.train_id GROUP BY t2.train_id ORDER BY count(*) DESC LIMIT 1,station_weather,"Find the name of the train whose route runs through greatest number of stations.
"
"SELECT headquarters ,  count(*) FROM company GROUP BY headquarters",gas_company,"For each headquarter, what are the headquarter and how many companies are centered there?
"
"SELECT DISTINCT COUNT ( t3.paperid ) FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN venue AS t4 ON t4.venueid  =  t3.venueid WHERE t1.keyphrasename  =  ""parsing"" AND t3.year  =  2014 AND t4.venuename  =  ""ACL"";",scholar,"how many parsing papers were published at ACL 2014 ?
"
"SELECT T2.name ,  T2.open_year FROM membership_register_branch AS T1 JOIN branch AS T2 ON T1.branch_id  =  T2.branch_id WHERE T1.register_year  =  2016 GROUP BY T2.branch_id ORDER BY count(*) DESC LIMIT 1",shop_membership,"What is the name and open year for the branch with most number of memberships registered in 2016?
"
"SELECT DISTINCT t3.paperid  ,  t3.year FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""zachary tatlock"";",scholar,"citation count of zachary tatlock 's papers
"
SELECT name FROM appointment AS T1 JOIN patient AS T2 ON T1.patient  =  T2.ssn,hospital_1,"List the names of patients who have made appointments.
"
"SELECT T3.name ,  T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id",company_office,"For each company, return the company name and the name of the building its office is located in.
"
"SELECT T2.emp_fname ,  T3.crs_description FROM CLASS AS T1 JOIN employee AS T2 ON T1.prof_num  =  T2.emp_num JOIN course AS T3 ON T1.crs_code  =  T3.crs_code",college_1,"What are the first names of all teachers who have taught a course and the corresponding descriptions?
"
"SELECT DISTINCT staff_first_name ,  staff_last_name FROM staff AS T1 JOIN problem_log AS T2 ON T1.staff_id = T2.assigned_to_staff_id WHERE T2.problem_id = 1",tracking_software_problems,"Which staff members are assigned to the problem with id 1? Give me their first and last names.
"
"SELECT T1.campus ,  sum(T2.degrees) FROM campuses AS T1 JOIN degrees AS T2 ON T1.id  =  T2.campus WHERE T1.county  =  ""Orange"" AND T2.year  >=  2000 GROUP BY T1.campus",csu_1,"What is the total number of degrees granted after 2000 for each Orange county campus?
"
"SELECT fname ,  major FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Soy"")",allergy_1,"Find the first name and major of the students who are not allegry to soy.
"
SELECT name FROM member WHERE member_id NOT IN (SELECT member_id FROM membership_register_branch),shop_membership,"What are the names of the members that have never registered at any branch?
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN venue AS t4 ON t4.venueid  =  t3.venueid WHERE t1.keyphrasename  =  ""TAIL"" AND t4.venuename  =  ""NIPS"";",scholar,"List the papers on TAIL that were published in NIPS
"
"SELECT T2.Name ,  T1.Team FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID ORDER BY T2.Days_held DESC",wrestler,"List the names of wrestlers and the teams in elimination in descending order of days held.
"
SELECT t1.customer_name FROM customers AS t1 JOIN customer_orders AS t2 ON t1.customer_id  =  t2.customer_id JOIN order_items AS t3 ON t2.order_id  =  t3.order_id JOIN products AS t4 ON t3.product_id  =  t4.product_id WHERE t4.product_details  =  'Latte' INTERSECT SELECT t1.customer_name FROM customers AS t1 JOIN customer_orders AS t2 ON t1.customer_id  =  t2.customer_id JOIN order_items AS t3 ON t2.order_id  =  t3.order_id JOIN products AS t4 ON t3.product_id  =  t4.product_id WHERE t4.product_details  =  'Americano',customers_and_addresses,"Find the names of customers who ordered both products Latte and Americano.
"
SELECT sum(city_population) FROM district WHERE city_area  >  (SELECT avg(city_area) FROM district),store_product,"What is the total population for all the districts that have an area larger tahn the average city area?
"
"SELECT Grape ,  Winery ,  YEAR FROM WINE WHERE Price  >   100 ORDER BY YEAR",wine_1,"What are the grapes, wineries and years for wines with price higher than 100, sorted by year?
"
"SELECT Gender ,  Occupation FROM player",riding_club,"What are the gender and occupation of players?
"
"SELECT t4.title FROM publication_keyword AS t2 JOIN keyword AS t1 ON t2.kid  =  t1.kid JOIN publication AS t4 ON t4.pid  =  t2.pid JOIN journal AS t3 ON t4.jid  =  t3.jid WHERE t3.name  =  ""PVLDB"" AND t1.keyword  =  ""Keyword search"";",academic,"return me the papers in PVLDB containing keyword "" Keyword search "" .
"
"SELECT state_name FROM city WHERE city_name  =  ""springfield"";",geo,"which states have cities named springfield
"
SELECT Fname FROM STUDENT WHERE Age  >  22,voter_2,"Find the first names of students with age above 22.
"
SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,e_government,"What are the last names of individuals who have been contact individuals for an organization?
"
"SELECT name ,  city ,  country FROM airports ORDER BY elevation LIMIT 1",flight_4,"What is the name, city, and country of the airport with the lowest altitude?
"
SELECT dept_address FROM department WHERE dept_name  =  'History',college_1,"what is the address of history department?
"
SELECT Publication_Date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1,book_2,"Please show the most common publication date.
"
SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,bike_1,"What is the number of days that had an average humity above 50 and an average visibility above 8?
"
"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Hopkins Student Enterprises"" AND t2.position  =  ""CTO""",club_1,"Find the first name and last name for the ""CTO"" of the club ""Hopkins Student Enterprises""?
"
"SELECT count(DISTINCT instrument) FROM instruments AS T1 JOIN songs AS T2 ON T1.songid  =  T2.songid WHERE title  =  ""Badlands""",music_2,"How many different instruments are used in the song ""Badlands""?
"
SELECT state FROM customers GROUP BY state ORDER BY count(*) LIMIT 1,customer_complaints,"Which state has the most customers?
"
SELECT count(*) FROM campuses,csu_1,"What is the total number of campuses?
"
"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",bike_1,"What are the start station's name and id for the one that had the most start trips in August?
"
SELECT dept_name FROM course GROUP BY dept_name ORDER BY sum(credits) DESC LIMIT 1,college_2,"What is the name of the department with the most credits?
"
"SELECT t1.name FROM domain_author AS t4 JOIN author AS t1 ON t4.aid  =  t1.aid JOIN DOMAIN AS t3 ON t3.did  =  t4.did JOIN organization AS t2 ON t2.oid  =  t1.oid WHERE t3.name  =  ""Databases"" AND t2.name  =  ""University of Michigan"";",academic,"return me all the researchers in Databases area in "" University of Michigan "" .
"
SELECT count(*) FROM College WHERE enr  >  15000,soccer_2,"What is the number of colleges with a student population greater than 15000?
"
"SELECT payment_method_code ,  party_phone FROM parties WHERE party_email  =  ""enrico09@example.com""",e_government,"What is the payment method code and party phone of the party with the email 'enrico09@example.com'?
"
SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,student_assessment,"Find distinct cities of address of students?
"
"SELECT max(Transit_Passengers) ,  min(Transit_Passengers) FROM airport",aircraft,"What is the maximum and mininum number of transit passengers for all airports?
"
SELECT count(DISTINCT T2.camera_lens_id) FROM mountain AS T1 JOIN photos AS T2 ON T1.id  =  T2.mountain_id WHERE T1.country  =  'Ethiopia',mountain_photos,"How many distinct kinds of camera lenses are used to take photos of mountains in the country 'Ethiopia'?
"
"SELECT t2.house_number  ,  t1.name FROM LOCATION AS t2 JOIN restaurant AS t1 ON t1.id  =  t2.restaurant_id WHERE t1.city_name IN ( SELECT city_name FROM geographic WHERE region  =  ""bay area"" );",restaurants,"where can we find some restaurants in the bay area ?
"
SELECT avg(bedroom_count) FROM Apartments,apartment_rentals,"Find the average number of bedrooms of all the apartments.
"
SELECT count(DISTINCT state) FROM bank,loan_1,"Find the number of different states which banks are located at.
"
"SELECT t3.name FROM director AS t3 JOIN directed_by AS t2 ON t3.did  =  t2.did JOIN movie AS t4 ON t4.mid  =  t2.msid JOIN tags AS t5 ON t5.msid  =  t4.mid JOIN keyword AS t1 ON t5.kid  =  t1.id WHERE t1.keyword  =  ""nuclear weapons"";",imdb,"List all the directors of movies about nuclear weapons
"
"SELECT DISTINCT T1.name ,  T1.position FROM physician AS T1 JOIN prescribes AS T2 ON T1.employeeid = T2.physician JOIN medication AS T3 ON T3.code = T2.medication WHERE T3.Brand  =  ""X""",hospital_1,"Find the name and position of physicians who prescribe some medication whose brand is X?
"
SELECT DISTINCT pName FROM Player WHERE pName LIKE '%a%',soccer_2,"Who are the players that have names containing the letter a?
"
SELECT T1.Name FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId GROUP BY T2.MediaTypeId ORDER BY COUNT(*) ASC LIMIT 1,chinook_1,"What is the name of the media type that is least common across all tracks?
"
"SELECT T1.Market_Details FROM Street_Markets AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.Market_ID  =  T2.Tourist_Attraction_ID WHERE T2.How_to_Get_There  =  ""walk"" OR  T2.How_to_Get_There  =  ""bus""",cre_Theme_park,"Find the details of all the markets that are accessible by walk or bus.
"
"SELECT T1.name ,  count(*) FROM camera_lens AS T1 JOIN photos AS T2 ON T1.id  =  T2.camera_lens_id GROUP BY T1.id ORDER BY count(*)",mountain_photos,"What is the name of each camera lens and the number of photos taken by it? Order the result by the count of photos.
"
SELECT sum(T1.salary) FROM salary AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T2.name_first  =  'Len' AND T2.name_last = 'Barker' AND T1.year BETWEEN 1985 AND 1990;,baseball_1,"Compute the total salary that the player with first name Len and last name Barker received between 1985 to 1990.
"
SELECT count(*) FROM ref_colors,products_gen_characteristics,"How many colors are there?
"
"SELECT avg(T1.lat) ,  avg(T1.long) FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id",bike_1,"What is the average latitude and longitude of all starting stations for the trips?
"
"SELECT DISTINCT title FROM vocals AS t1 JOIN songs AS t2 ON t1.songid  =  t2.songid EXCEPT SELECT t2.title FROM vocals AS t1 JOIN songs AS t2 ON t1.songid  =  t2.songid WHERE TYPE  =  ""back""",music_2,"What are the names of the songs that do not have back vocals?
"
SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state );,geo,"which state has the most people
"
"SELECT count(DISTINCT t3.product_id) FROM customers AS t1 JOIN customer_orders AS t2 ON t1.customer_id  =  t2.customer_id JOIN order_items AS t3 ON t2.order_id  =  t3.order_id WHERE t1.customer_name  =  ""Rodrick Heaney""",customers_and_addresses,"How many types of products have Rodrick Heaney bought in total?
"
"SELECT job_id ,  hire_date FROM employees WHERE hire_date BETWEEN '2007-11-05' AND '2009-07-05'",hr_1,"What are the job ids and dates of hire for employees hired after November 5th, 2007 and before July 5th, 2009?
"
"SELECT Customer_Phone ,  Customer_Email_Address FROM CUSTOMERS WHERE Customer_Name  =  ""Harold""",cre_Drama_Workshop_Groups,"Find the phone number and email address of customer ""Harold"".
"
"SELECT T2.account_name ,  T1.account_id ,  count(*) FROM Financial_transactions AS T1 JOIN Accounts AS T2 ON T1.account_id  =  T2.account_id GROUP BY T1.account_id",customers_and_invoices,"Return the names and ids of each account, as well as the number of transactions.
"
"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id  =  T2.f_id WHERE T1.formats  =  ""mp3"" INTERSECT SELECT song_name FROM song WHERE resolution  <  1000",music_1,"Return the names of songs for which format is mp3 and resolution is below 1000.
"
"SELECT customer_name FROM customers WHERE payment_method  =  ""Cash""",customers_and_addresses,"What are the names of customers who use payment method ""Cash""?
"
"SELECT DISTINCT COUNT ( DISTINCT t3.citingpaperid )  ,  t1.paperid FROM paper AS t1 JOIN cite AS t3 ON t1.paperid  =  t3.citedpaperid JOIN venue AS t2 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2014 AND t2.venuename  =  ""TACL"" GROUP BY t1.paperid ORDER BY COUNT ( DISTINCT t3.citingpaperid ) DESC;",scholar,"What was the best paper at TACL 2014 ?
"
SELECT count(DISTINCT acc_type) FROM customer,loan_1,"Count the number of different account types.
"
SELECT name FROM instructor ORDER BY salary DESC LIMIT 1,college_2,"Who is the instructor with the highest salary?
"
SELECT dept_name FROM department ORDER BY dept_name,college_1,"What are the names of all departments in alphabetical order?
"
"SELECT payment_method_code ,  count(*) FROM customers GROUP BY payment_method_code",department_store,"For each payment method, return how many customers use it.
"
"SELECT channel_code ,  contact_number FROM customer_contact_channels WHERE active_to_date - active_from_date  =  (SELECT active_to_date - active_from_date FROM customer_contact_channels ORDER BY (active_to_date - active_from_date) DESC LIMIT 1)",customers_and_addresses,"Return the channel code and contact number of the customer contact channel whose active duration was the longest.
"
SELECT gender FROM staff GROUP BY gender ORDER BY count(*) DESC LIMIT 1,assets_maintenance,"Which gender makes up the majority of the staff?
"
SELECT document_type_code FROM documents GROUP BY document_type_code HAVING count(*)  >  2,document_management,"What document types have more than 2 corresponding documents?
"
SELECT rid FROM routes WHERE dst_apid IN (SELECT apid FROM airports WHERE country  =  'United States') AND src_apid IN (SELECT apid FROM airports WHERE country  =  'United States'),flight_4,"Find the id of routes whose source and destination airports are in the United States.
"
"SELECT T2.Winery FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.Color  =  ""White"" GROUP BY T2.Winery ORDER BY count(*) DESC LIMIT 3",wine_1,"Which 3 wineries produce the most wines made from white grapes?
"
SELECT t1.name FROM swimmer AS t1 JOIN record AS t2 ON t1.id  =  t2.swimmer_id WHERE RESULT  =  'Win' INTERSECT SELECT t1.name FROM swimmer AS t1 JOIN record AS t2 ON t1.id  =  t2.swimmer_id WHERE RESULT  =  'Loss',swimming,"Find the names of the swimmers who have both ""win"" and ""loss"" results in the record.
"
SELECT count(*) FROM Documents_with_expenses,cre_Docs_and_Epenses,"How many documents have expenses?
"
SELECT account_id FROM Financial_transactions GROUP BY account_id ORDER BY count(*) DESC LIMIT 1,customers_and_invoices,"Show the account id with most number of transactions.
"
"SELECT DISTINCT t1.paperid FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t2.venuename  =  ""chi"";",scholar,"Papers about chi
"
SELECT Shop_Name FROM shop ORDER BY Open_Year ASC,device,"What are the names of shops in ascending order of open year?
"
SELECT name FROM actor WHERE birth_year  =  1984;,imdb,"Find all actors who were born in 1984
"
"SELECT T1.Name ,  T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID",musical,"Show names of actors and names of musicals they are in.
"
"SELECT organization_name FROM organizations WHERE organization_name LIKE ""%Party%""",e_government,"Find the name of organizations whose names contain ""Party"".
"
"SELECT book_title ,  author_or_editor FROM book_club WHERE YEAR  >  1989",culture_company,"What are the titles and authors or editors that correspond to books made after 1989?
"
SELECT count(*) FROM Companies,company_office,"How many companies are there?
"
SELECT city_name FROM city WHERE population  >  150000;,geo,"what are the major cities of the united states
"
SELECT count(DISTINCT Name) FROM PHOTOS,cre_Theme_park,"How many distinct names are associated with all the photos?
"
"SELECT t3.title FROM genre AS t2 JOIN classification AS t1 ON t2.gid  =  t1.gid JOIN movie AS t3 ON t3.mid  =  t1.msid WHERE t2.genre  =  ""Sci-Fi"" AND t3.release_year  =  2010;",imdb,"List all the Sci-Fi movies which released in 2010
"
SELECT Name FROM wrestler WHERE Wrestler_ID NOT IN (SELECT Wrestler_ID FROM elimination),wrestler,"List the names of wrestlers that have not been eliminated.
"
SELECT avg(enr) FROM College WHERE state  =  'FL',soccer_2,"What is average number of students enrolled in Florida colleges?
"
"SELECT payment_method_code ,  party_phone FROM parties WHERE party_email  =  ""enrico09@example.com""",e_government,"Find the payment method and phone of the party with email ""enrico09@example.com"".
"
"SELECT apt_type_code ,  max(room_count) ,  min(room_count) FROM Apartments GROUP BY apt_type_code",apartment_rentals,"Show each apartment type code, and the maximum and minimum number of rooms for each type.
"
SELECT name FROM Person WHERE age  =  (SELECT max(age) FROM person),network_2,"Who is the oldest person?
"
"SELECT DISTINCT COUNT ( DISTINCT t4.citingpaperid )  ,  t1.authorid FROM venue AS t3 JOIN paper AS t2 ON t3.venueid  =  t2.venueid JOIN writes AS t1 ON t1.paperid  =  t2.paperid JOIN cite AS t4 ON t1.paperid  =  t4.citedpaperid WHERE t3.venuename  =  ""CVPR"" GROUP BY t1.authorid ORDER BY COUNT ( DISTINCT t4.citingpaperid ) DESC;",scholar,"how is the most cited author in CVPR ?
"
"SELECT name ,  CLASS ,  rank FROM captain",ship_1,"Find the name, class and rank of all captains.
"
SELECT avg(Horizontal_Bar_Points) FROM gymnast,gymnast,"What is the average horizontal bar points for all gymnasts?
"
SELECT Country FROM manager WHERE Age  >  50 OR Age  <  46,railway,"Show the countries that have managers of age above 50 or below 46.
"
"SELECT count(*) ,  sex FROM student WHERE age  >  (SELECT avg(age) FROM student) GROUP BY sex",dorm_1,"How many students are older than average for each gender?
"
SELECT order_id FROM orders ORDER BY date_order_placed DESC LIMIT 1,tracking_orders,"What is the id of the most recent order?
"
SELECT T2.roomName FROM Reservations AS T1 JOIN Rooms AS T2 ON T1.Room  =  T2.RoomId GROUP BY T1.Room ORDER BY count(*) DESC LIMIT 1;,inn_1,"Which room has the largest number of reservations?
"
"SELECT T2.day_Number ,  T1.Date_Stored FROM All_documents AS T1 JOIN Ref_calendar AS T2 ON T1.date_stored  =  T2.calendar_date",cre_Doc_Tracking_DB,"What is the day Number and date of all the documents?
"
"SELECT T1.first_name ,  T1.last_name FROM customers AS T1 JOIN invoices AS T2 ON T2.customer_id  =  T1.id ORDER BY T2.invoice_date DESC LIMIT 5;",store_1,"Find out 5 customers who most recently purchased something. List customers' first and last name.
"
SELECT count(*) FROM medicine WHERE FDA_approved  =  'No',medicine_enzyme_interaction,"How many medicines have the FDA approval status 'No' ?
"
"SELECT T2.emp_fname ,  T1.prof_office FROM professor AS T1 JOIN employee AS T2 ON T1.emp_num  =  T2.emp_num ORDER BY T2.emp_fname",college_1,"What are the first names and office locations for all professors sorted alphabetically by first name?
"
SELECT avg(enrollment) FROM university WHERE founded  <  1850,university_basketball,"Return the average enrollment of universities founded before 1850.
"
"SELECT customer_id ,  count(*) FROM Customers_cards GROUP BY customer_id ORDER BY count(*) DESC LIMIT 1",customers_card_transactions,"What is the customer id with most number of cards, and how many does he have?
"
SELECT count(*) FROM budget WHERE budgeted  >  3000 AND YEAR  <=  2001,school_finance,"How many budgets are above 3000 in year 2001 or before?
"
SELECT count(*) FROM film,film_rank,"How many film are there?
"
"SELECT count(*) FROM customer_orders WHERE order_details  =  ""Second time""",customers_and_addresses,"How many orders have detail ""Second time""?
"
SELECT DISTINCT name FROM medication ORDER BY name,hospital_1,"List the names of all distinct medications, ordered in an alphabetical order.
"
"SELECT DISTINCT T1.Fate FROM mission AS T1 JOIN ship AS T2 ON T1.Ship_ID  =  T2.Ship_ID WHERE T2.Nationality  =  ""United States""",ship_mission,"What are the different fates of the mission that involved ships from the United States?
"
SELECT COUNT ( DISTINCT keyword ) FROM keyword;,academic,"return me the number of keywords .
"
SELECT TYPE FROM institution GROUP BY TYPE ORDER BY count(*) DESC LIMIT 1,protein_institute,"Show the institution type with the largest number of institutions.
"
"SELECT payment_method_code ,  count(*) FROM INVOICES GROUP BY payment_method_code",cre_Drama_Workshop_Groups,"Show all payment method codes and the number of orders for each code.
"
"SELECT t2.text FROM review AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id WHERE t1.name  =  ""Kabob Palace"" AND t2.year  =  2014;",yelp,"Find all reviews about "" Kabob Palace "" in year 2014
"
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",student_assessment,"What are the ids of the students who registered course statistics by order of registration date?
"
"SELECT card_id ,  customer_id ,  card_type_code ,  card_number FROM Customers_cards",customers_card_transactions,"What are card ids, customer ids, card types, and card numbers for each customer card?
"
"SELECT T1.course_description ,  T1.course_name FROM Courses AS T1 JOIN Student_Course_Enrolment AS T2 ON T1.course_id  =  T2.course_id GROUP BY T1.course_name HAVING COUNT(*)  >  2",e_learning,"Return the descriptions and names of the courses that have more than two students enrolled in.
"
"SELECT Name FROM technician WHERE Team != ""NYY""",machine_repair,"List the name of technicians whose team is not ""NYY"".
"
SELECT T2.theme FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  <  100 INTERSECT SELECT T2.theme FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id WHERE T1.attendance  >  500,theme_gallery,"Show the theme for exhibitions with both records of an attendance below 100 and above 500.
"
"SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing""",sports_competition,"Show the names of clubs that have players with position ""Right Wing"".
"
SELECT avg(hours) FROM projects,scientist_1,"What is the average hours across all projects?
"
"SELECT location_code FROM Ref_locations WHERE location_name  =  ""Canada""",cre_Doc_Tracking_DB,"Show the location code of the country ""Canada"".
"
"SELECT Restaurant.ResName ,  sum(Visits_Restaurant.Spent) FROM Visits_Restaurant JOIN Restaurant ON Visits_Restaurant.ResID = Restaurant.ResID GROUP BY Restaurant.ResID ORDER BY sum(Visits_Restaurant.Spent) ASC LIMIT 1;",restaurant_1,"At which restaurant did the students spend the least amount of time? List restaurant and the time students spent on in total.
"
SELECT TYPE FROM ship GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1,ship_mission,"Please show the most common type of ships.
"
SELECT sportname FROM Sportsinfo WHERE onscholarship  =  'Y' GROUP BY sportname ORDER BY count(*) DESC LIMIT 1,game_1,"Which sport has most number of students on scholarship?
"
SELECT lname FROM faculty WHERE rank  =  'Professor' EXCEPT SELECT DISTINCT T1.lname FROM Faculty AS T1 JOIN Faculty_participates_in AS T2 ON T1.facID  =  T2.facID JOIN activity AS T3 ON T2.actid  =  T2.actid WHERE T3.activity_name  =  'Canoeing' OR T3.activity_name  =  'Kayaking',activity_1,"What are the first names of the professors who do not play Canoeing or Kayaking as activities?
"
SELECT state_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city );,geo,"which state has the largest city
"
SELECT name FROM driver ORDER BY age DESC,school_bus,"Show the name of drivers in descending order of age.
"
"SELECT DISTINCT name FROM Reviewer AS T1 JOIN Rating AS T2 ON T1.rID  =  T2.rID WHERE ratingDate  =  ""null""",movie_1,"Find the names of all reviewers who have ratings with a NULL value for the date.
"
"SELECT count(*) ,  cName FROM tryout GROUP BY cName ORDER BY count(*) DESC",soccer_2,"Find the number of students who participate in the tryout for each college ordered by descending count.
"
SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID  =  T2.physician JOIN department AS T3 ON T2.department  =  T3.DepartmentID WHERE T3.name  =  'Surgery' OR T3.name  =  'Psychiatry',hospital_1,"Find the name of physicians who are affiliated with Surgery or Psychiatry department.
"
SELECT transaction_id FROM Financial_transactions WHERE transaction_amount  >  (SELECT avg(transaction_amount) FROM Financial_transactions),customers_and_invoices,"Show ids for all transactions whose amounts are greater than the average.
"
SELECT lname FROM authors ORDER BY lname,icfp_1,"Give me a list of all the last names of authors sorted in alphabetical order
"
"SELECT T2.card_type_code ,  count(*) FROM Financial_transactions AS T1 JOIN Customers_cards AS T2 ON T1.card_id  =  T2.card_id GROUP BY T2.card_type_code",customers_card_transactions,"Show the card type codes and the number of transactions.
"
SELECT T1.service_type_code FROM services AS T1 JOIN EVENTS AS T2 ON T1.service_id  =  T2.service_id WHERE T2.event_details  =  'Success' INTERSECT SELECT T1.service_type_code FROM services AS T1 JOIN EVENTS AS T2 ON T1.service_id  =  T2.service_id WHERE T2.event_details  =  'Fail',local_govt_in_alabama,"Which services type had both successful and failure event details?
"
SELECT title FROM course WHERE dept_name  =  'Statistics' EXCEPT SELECT title FROM course WHERE dept_name  =  'Psychology',college_2,"What are the titles of courses that are in the Statistics department but not the Psychology department?
"
SELECT * FROM COURSE ORDER BY Credits,college_3,"List all information about courses sorted by credits in the ascending order.
"
"SELECT DISTINCT customer_id FROM Customer_Orders WHERE order_date  >  (SELECT min(order_date) FROM Customer_Orders WHERE order_status_code  =  ""Cancelled"")",department_store,"Find the ids of all distinct customers who made order after some orders that were Cancelled.
"
"SELECT DISTINCT t1.authorid FROM writes AS t3 JOIN author AS t2 ON t3.authorid  =  t2.authorid JOIN writes AS t4 ON t4.paperid  =  t3.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid WHERE t2.authorname  =  ""Noah A Smith"";",scholar,"Who are Noah A Smith 's co-authors
"
"SELECT citation_num FROM publication WHERE title  =  ""Making database systems usable"";",academic,"return me the citations of "" Making database systems usable "" .
"
"SELECT count(*) ,  T1.dormid FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid WHERE T1.student_capacity  >  100 GROUP BY T1.dormid",dorm_1,"For each dorm, how many amenities does it have?
"
"SELECT DName FROM DEPARTMENT WHERE Division  =  ""AS"" UNION SELECT DName FROM DEPARTMENT WHERE Division  =  ""EN"" AND Building  =  ""NEB""",college_3,"What are the names of departments either in division AS, or in division EN and in building NEB?
"
"SELECT document_status_description FROM Ref_Document_Status WHERE document_status_code = ""working"";",cre_Doc_Control_Systems,"What is the description of document status code 'working'?
"
SELECT birth_country FROM player GROUP BY birth_country ORDER BY count(*) ASC LIMIT 3;,baseball_1,"What are the three countries that the least players are from?
"
SELECT t3.customer_details FROM claim_headers AS t1 JOIN policies AS t2 ON t1.policy_id  =  t2.policy_id JOIN customers AS t3 ON t2.customer_id  =  t3.customer_id WHERE t1.amount_piad  =  (SELECT min(amount_piad) FROM claim_headers),insurance_and_eClaims,"What is the name of the customer who has made the minimum amount of payment in one claim?
"
"SELECT POSITION ,  COUNT(*) FROM match_season GROUP BY POSITION",match_season,"How many players played each position?
"
